timestamp,x,y,z
1489816940.95,-6.39,0.21,7.34
1489816940.97,-6.28,0.25,7.37
1489816940.98,-6.35,0.28,7.39
1489816940.99,-6.26,0.22,7.37
1489816941.01,-6.37,0.22,7.27
1489816941.02,-6.58,0.21,7.11
1489816941.04,-6.51,0.24,7.16
1489816941.06,-6.49,0.34,7.33
1489816941.07,-6.43,0.37,7.29
1489816941.08,-6.38,0.29,7.04
1489816941.1,-6.47,0.23,6.95
1489816941.11,-6.59,0.03,6.99
1489816941.13,-6.65,-0.07,7.1
1489816941.14,-6.68,0.0,7.47
1489816941.15,-6.58,0.03,7.68
1489816941.17,-6.57,0.14,7.68
1489816941.18,-6.57,0.16,7.52
1489816941.2,-6.6,0.15,7.39
1489816941.22,-6.55,0.17,7.22
1489816941.23,-6.63,0.14,7.11
1489816941.24,-6.6,0.1,7.12
1489816941.26,-6.63,0.12,7.0
1489816941.27,-6.5,0.11,7.03
1489816941.29,-6.46,0.25,7.12
1489816941.3,-6.42,0.36,7.13
1489816941.31,-6.4,0.2,7.03
1489816941.33,-6.49,-0.01,6.95
1489816941.35,-6.61,0.02,6.96
1489816941.36,-6.7,0.0,7.0
1489816941.38,-6.75,0.03,7.14
1489816941.39,-6.71,0.1,7.35
1489816941.4,-6.68,0.17,7.42
1489816941.42,-6.63,0.16,7.38
1489816941.43,-6.55,0.16,7.15
1489816941.45,-6.56,0.06,7.05
1489816941.46,-6.6,0.01,6.92
1489816941.47,-6.7,-0.03,6.92
1489816941.49,-6.71,-0.04,7.04
1489816941.51,-6.67,0.01,7.14
1489816941.52,-6.62,0.01,7.2
1489816941.53,-6.67,0.03,7.19
1489816941.55,-6.67,0.01,7.13
1489816941.56,-6.68,0.06,7.12
1489816941.58,-6.68,0.06,7.05
1489816941.59,-6.67,0.1,7.09
1489816941.6,-6.61,0.15,7.13
1489816941.62,-6.61,0.16,7.17
1489816941.63,-6.62,0.14,7.17
1489816941.65,-6.62,0.09,7.08
1489816941.67,-6.62,0.11,7.06
1489816941.68,-6.63,0.05,6.98
1489816941.69,-6.63,0.08,7.01
1489816941.71,-6.63,0.09,7.05
1489816941.72,-6.65,0.06,7.13
1489816941.74,-6.62,0.08,7.13
1489816941.75,-6.69,0.1,7.13
1489816941.76,-6.72,0.13,7.02
1489816941.78,-6.7,0.08,7.03
1489816941.79,-6.69,0.08,7.11
1489816941.81,-6.66,0.06,7.11
1489816941.83,-6.66,0.05,7.11
1489816941.84,-6.63,-0.03,7.11
1489816941.85,-6.66,0.08,6.98
1489816941.87,-6.57,0.03,6.91
1489816941.88,-6.62,0.09,7.0
1489816941.9,-6.63,0.16,7.01
1489816941.91,-6.68,-0.01,6.98
1489816941.92,-6.7,-0.08,7.06
1489816941.94,-6.7,-0.03,7.08
1489816941.95,-6.63,-0.01,7.06
1489816941.97,-6.69,0.09,7.12
1489816941.99,-6.71,0.1,7.16
1489816942.0,-6.72,0.06,7.2
1489816942.01,-6.8,0.05,7.24
1489816942.03,-6.71,0.08,7.13
1489816942.04,-6.58,0.08,7.07
1489816942.05,-6.59,0.04,6.98
1489816942.07,-6.63,0.0,6.91
1489816942.08,-6.67,-0.01,6.89
1489816942.1,-6.62,-0.0,6.95
1489816942.11,-6.65,0.03,7.0
1489816942.13,-6.61,0.05,7.04
1489816942.14,-6.68,0.05,7.05
1489816942.16,-6.74,0.07,7.02
1489816942.17,-6.72,0.03,7.13
1489816942.19,-6.71,0.03,7.1
1489816942.2,-6.73,0.01,7.12
1489816942.22,-6.7,0.01,7.06
1489816942.23,-6.69,0.06,6.98
1489816942.24,-6.65,0.02,6.93
1489816942.26,-6.68,0.02,6.98
1489816942.27,-6.67,-0.02,7.02
1489816942.29,-6.7,0.01,7.01
1489816942.3,-6.73,0.06,7.09
1489816942.32,-6.68,0.08,7.19
1489816942.33,-6.67,0.09,7.19
1489816942.35,-6.65,0.09,7.05
1489816942.36,-6.68,0.04,6.93
1489816942.37,-6.64,0.03,6.9
1489816942.39,-6.73,0.02,7.02
1489816942.4,-6.7,0.01,7.05
1489816942.42,-6.75,0.04,7.11
1489816942.43,-6.69,0.02,7.18
1489816942.45,-6.74,0.04,7.16
1489816942.46,-6.71,0.07,7.09
1489816942.48,-6.61,0.05,7.13
1489816942.49,-6.69,0.24,7.16
1489816942.51,-6.7,0.12,7.13
1489816942.52,-6.74,-0.02,7.18
1489816942.53,-6.75,0.04,7.2
1489816942.55,-6.73,0.14,7.1
1489816942.56,-6.67,0.18,7.18
1489816942.58,-6.63,0.18,7.21
1489816942.59,-6.62,0.15,7.32
1489816942.61,-6.61,0.18,7.34
1489816942.62,-6.56,0.2,7.23
1489816942.64,-6.55,0.18,7.2
1489816942.65,-6.64,0.12,7.1
1489816942.67,-6.61,0.11,7.05
1489816942.68,-6.59,0.17,7.05
1489816942.69,-6.42,0.19,7.23
1489816942.71,-6.39,0.22,7.33
1489816942.72,-6.37,0.27,7.24
1489816942.74,-6.59,0.27,7.23
1489816942.76,-6.61,0.15,7.2
1489816942.77,-6.56,0.19,7.15
1489816942.78,-6.46,0.22,7.17
1489816942.8,-6.44,0.21,7.32
1489816942.81,-6.45,0.23,7.33
1489816942.83,-6.54,0.19,7.32
1489816942.84,-6.51,0.18,7.26
1489816942.85,-6.38,0.21,7.21
1489816942.87,-6.37,0.11,7.07
1489816942.88,-6.37,0.25,7.19
1489816942.9,-6.32,0.27,7.16
1489816942.92,-6.32,0.23,7.0
1489816942.93,-6.35,0.17,7.19
1489816942.94,-6.31,0.09,7.05
1489816942.96,-6.26,0.21,7.1
1489816942.97,-6.2,0.14,7.12
1489816942.99,-6.17,0.18,7.17
1489816943.0,-6.17,0.21,7.21
1489816943.01,-6.1,0.17,7.41
1489816943.03,-6.22,0.19,7.33
1489816943.04,-6.32,0.16,7.15
1489816943.06,-6.27,0.27,7.14
1489816943.07,-6.09,0.27,6.95
1489816943.09,-5.76,0.36,7.13
1489816943.1,-6.2,0.2,7.11
1489816943.12,-6.44,0.07,7.13
1489816943.13,-6.71,0.02,7.03
1489816943.14,-6.83,0.13,7.24
1489816943.16,-6.76,0.34,7.56
1489816943.17,-6.52,0.39,7.61
1489816943.19,-6.41,0.38,7.45
1489816943.21,-6.33,0.2,7.08
1489816943.22,-6.26,0.0,6.76
1489816943.23,-6.36,-0.14,6.56
1489816943.25,-6.48,-0.11,6.55
1489816943.26,-6.67,-0.01,6.7
1489816943.28,-6.71,0.27,7.4
1489816943.29,-6.85,0.32,7.93
1489816943.3,-6.75,0.36,8.2
1489816943.32,-6.61,0.36,8.12
1489816943.33,-6.57,0.21,7.66
1489816943.35,-6.65,0.13,7.12
1489816943.37,-6.55,0.0,6.82
1489816943.38,-6.58,0.03,6.76
1489816943.39,-6.63,0.05,6.88
1489816943.41,-6.59,0.08,6.97
1489816943.42,-6.62,0.16,7.15
1489816943.44,-6.65,0.16,7.22
1489816943.45,-6.6,0.14,7.22
1489816943.46,-6.58,0.19,7.2
1489816943.48,-6.62,0.12,7.19
1489816943.49,-6.64,0.03,7.15
1489816943.51,-6.61,0.1,7.22
1489816943.53,-6.69,0.12,7.16
1489816943.54,-6.76,0.11,6.91
1489816943.55,-6.73,0.16,6.92
1489816943.57,-6.67,0.12,6.89
1489816943.58,-6.58,0.15,6.89
1489816943.6,-6.68,0.09,6.91
1489816943.61,-6.7,-0.04,6.98
1489816943.62,-6.75,-0.01,7.06
1489816943.64,-6.68,-0.05,7.17
1489816943.65,-6.63,0.0,7.17
1489816943.67,-6.68,-0.08,7.28
1489816943.68,-6.68,-0.23,7.27
1489816943.7,-6.74,-0.24,7.37
1489816943.71,-6.68,-0.07,7.24
1489816943.73,-6.67,0.0,7.09
1489816943.74,-6.7,0.03,7.01
1489816943.76,-6.73,0.07,7.08
1489816943.77,-6.64,0.13,7.04
1489816943.78,-6.61,0.25,7.06
1489816943.8,-6.61,0.35,7.11
1489816943.82,-6.64,0.25,7.1
1489816943.83,-6.67,0.23,7.15
1489816943.85,-6.76,0.18,7.18
1489816943.86,-6.75,0.27,7.16
1489816943.87,-6.7,0.24,7.33
1489816943.89,-6.77,0.14,7.27
1489816943.9,-6.74,0.14,7.22
1489816943.91,-6.67,0.13,7.15
1489816943.93,-6.69,0.22,7.12
1489816943.94,-6.73,0.16,7.1
1489816943.96,-6.8,0.16,7.15
1489816943.98,-6.83,0.07,7.4
1489816943.99,-6.81,0.02,7.45
1489816944.0,-6.78,0.06,7.41
1489816944.02,-6.72,0.0,7.33
1489816944.03,-6.64,-0.02,7.14
1489816944.05,-6.61,-0.01,7.13
1489816944.06,-6.56,0.04,7.26
1489816944.07,-6.48,0.18,7.29
1489816944.09,-6.4,0.23,7.31
1489816944.1,-6.39,0.25,7.18
1489816944.12,-6.42,0.24,7.04
1489816944.14,-6.44,0.07,7.05
1489816944.15,-6.37,0.25,7.13
1489816944.16,-6.39,0.19,7.14
1489816944.18,-6.57,-0.07,7.79
1489816944.19,-6.26,0.73,7.3
1489816944.21,-6.21,0.38,7.13
1489816944.22,-5.97,0.29,7.33
1489816944.23,-6.0,0.39,7.59
1489816944.25,-5.82,0.43,7.08
1489816944.26,-5.91,0.77,7.09
1489816944.28,-6.05,0.38,7.17
1489816944.3,-6.21,0.22,7.47
1489816944.31,-6.27,0.05,7.59
1489816944.32,-6.19,0.21,7.5
1489816944.34,-6.12,0.25,7.46
1489816944.35,-6.07,0.19,7.39
1489816944.37,-6.09,0.18,7.21
1489816944.38,-6.04,0.25,7.09
1489816944.39,-6.1,0.19,6.94
1489816944.41,-6.27,0.18,6.95
1489816944.43,-6.28,0.2,7.0
1489816944.44,-6.24,0.29,7.06
